target,ra,dec,phot_g_mean_mag,spType,starType
HD31128,73.0413,-27.0642,-999,F3/5Vw,calspec
HD34816,79.8938,-13.1768,-999,B0.5V,calspec
HD37468,84.6865,-2.6001,-999,O9.5V+B0.2V(n),calspec
HD37962,85.2165,-31.3511,-999,G2V,calspec
HD38666,86.4996,-32.3064,-999,O9.5V,calspec
HD38949,87.0836,-24.4638,-999,G1V,calspec
2MASS J05591914-1404488,89.8299,-14.0803,-999,T4.5,calspec
HD42525,91.5391,-66.0396,-999,A0V,calspec
HD48915A,101.2872,-16.7161,-999,A0mA1Va,calspec
HD60753,113.3638,-50.5843,-999,B3IV,calspec
HD74000,130.2117,-16.3451,-999,F2,calspec
