HD101452 "11 40 13.651" "-39 08 47.67" J2000
HD106252 "12 13 29.510" "+10 02 29.89" J2000
HD111980 "12 53 15.053" "-18 31 20.01" J2000
HD115169 "13 15 47.388" "-29 30 21.18" J2000
"BD-11 3759" "14 34 16.812" "-12 31 10.42" J2000
"109 VIR" "14 46 14.925" "+01 53 34.38" J2000
HD142331 "15 54 19.788" "-08 34 49.37" J2000
"18 SCO" "16 15 37.270" "-08 22 09.98" J2000
"BD+02 3375" "17 39 45.595" "+02 24 59.61" J2000
HD160617 "17 42 49.324" "-40 19 15.51" J2000
HD167060 "18 17 44.143" "-61 42 31.62" J2000
HD185975 "20 28 18.740" "-87 28 19.94" J2000
HD200654 "21 06 34.751" "-49 57 50.28" J2000
HD205905 "21 39 10.151" "-27 18 23.67" J2000
